"Item","Quantity","Item Price GBP","Shipping GBP","Line Total GBP","Item Price USD","Shipping USD","Line Total USD","Link","Reason"
"ESP32 HUB75 Adapter Board","1","16.95","0","16.95","23.06","0","23.06","https://amazon.co.uk/dp/B0FQJ6XX6C","Connects the ESP32-S3 to the LED panel"
"ESP32-S3 DevKitC-1 N16R8 pre-soldered","1","9.99","0","9.99","13.59","0","13.59","https://amazon.co.uk/dp/B0CYZVQR27","Runs the software to power the whole device"
"5V 8A Power Supply","1","9.98","0","9.98","13.58","0","13.58","https://amazon.co.uk/dp/B0B5D922K1","Powers the adapter and LED panel"
"HUB75E LED Matrix 128x64 P2","1","25.92","0","25.92","35.27","0","35.27","https://www.aliexpress.com/item/32824445518.html","Main display panel"
"Bambu Lab PLA Matte Charcoal 11101 refill 1 kg","1","17.99","4","21.99","24.48","5.44","29.92","https://uk.store.bambulab.com/products/pla-matte","Prints the stand display holder and wall mount (i have spool so refill is better :) )"
"TOTAL","","","","84.83","","","115.42","",""
